	condition	experiment	colour
LC001-normal-RPF	normal	RPF	blue
LC001-tumor-RPF	tumor	RPF	red
LC033-normal-RPF	normal	RPF	blue
LC033-tumor-RPF	tumor	RPF	red
LC034-normal-RPF	normal	RPF	blue
LC034-tumor-RPF	tumor	RPF	red
LC501-normal-RPF	normal	RPF	blue
LC501-tumor-RPF	tumor	RPF	red
LC502-normal-RPF	normal	RPF	blue
LC502-tumor-RPF	tumor	RPF	red
LC505-normal-RPF	normal	RPF	blue
LC505-tumor-RPF	tumor	RPF	red
LC506-normal-RPF	normal	RPF	blue
LC506-tumor-RPF	tumor	RPF	red
LC507-normal-RPF	normal	RPF	blue
LC507-tumor-RPF	tumor	RPF	red
LC508-normal-RPF	normal	RPF	blue
LC508-tumor-RPF	tumor	RPF	red
LC509-normal-RPF	normal	RPF	blue
LC509-tumor-RPF	tumor	RPF	red
